hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,70,2016,March,10,3,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0,Canceled,2015-12-27
City Hotel,0,68,2016,March,10,3,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.9,0,0,Check-Out,2016-03-05
City Hotel,1,1,2016,March,10,3,0,2,1,0.0,0,BB,NGA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.0,0,0,No-Show,2016-03-03
City Hotel,1,44,2016,March,10,3,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0,Canceled,2016-02-08
City Hotel,1,46,2016,March,10,3,0,3,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.9,0,0,Canceled,2016-03-02
City Hotel,1,84,2016,March,10,3,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0,Canceled,2015-12-20
City Hotel,1,6,2016,March,10,3,0,3,2,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,116.0,0,0,Canceled,2016-02-29
City Hotel,1,16,2016,March,10,3,0,3,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.33,0,0,Canceled,2016-02-25
City Hotel,0,66,2016,March,10,3,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.3,0,1,Check-Out,2016-03-06
City Hotel,1,52,2016,March,10,3,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0,Canceled,2016-02-08
City Hotel,0,89,2016,March,10,3,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.3,0,0,Check-Out,2016-03-06
City Hotel,1,60,2016,March,10,3,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,,0,Transient,87.3,0,1,Canceled,2016-01-22
City Hotel,1,16,2016,March,10,3,0,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,84.33,0,0,Canceled,2016-02-29
City Hotel,1,45,2016,March,10,3,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0,Canceled,2016-02-01
City Hotel,0,80,2016,March,10,3,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,80.3,0,1,Check-Out,2016-03-06
City Hotel,1,81,2016,March,10,3,0,3,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,96.3,0,0,Canceled,2016-02-25
City Hotel,1,22,2016,March,10,3,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,94.33,0,2,Canceled,2016-02-14
City Hotel,1,16,2016,March,10,3,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,109.33,0,0,Canceled,2016-02-25
City Hotel,1,6,2016,March,10,3,0,3,3,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,137.0,0,0,Canceled,2016-02-29
City Hotel,0,71,2016,March,10,3,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,155.0,,0,Transient,95.25,0,0,Check-Out,2016-03-07
City Hotel,1,11,2016,March,10,3,1,3,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.0,0,0,Canceled,2016-02-26
City Hotel,1,39,2016,March,10,3,1,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,71.1,0,0,Canceled,2016-01-24
